tiempo, mV
1.008,-0.0242020580387412
1.01,-0.0232442949541501
1.012,-0.0132427304515231
1.014,-0.0148856889115104
1.016,0.0155550243226323
1.018,0.0170084954681733
1.02,0.0270633909777091
1.022,0.00120769119096901
1.024,-0.0194721448550242
1.026,-0.0436217618040607
1.028,-0.0578261813460758
1.03,-0.0459788696740971
1.032,-0.0374631217092976
1.034,-0.0124334251241212
1.036,0.0159513831752221
1.038,0.0108472893642228
1.04,0.00526711513754887
1.042,-0.0270561778197181
1.044,-0.0439295777022782
1.046,-0.0488325991944724
1.048,-0.0496564824500987
1.05,-0.0350000000000011
1.052,-0.0223012568980959
1.054,-0.0138067210305299
1.056,-0.0425590122060218
1.058,-0.0405831424052835
1.06,-0.090267115137548
1.062,-0.10320796913922
1.064,-0.109462793266922
1.066,-0.114927254650877
1.068,-0.10557913894251
1.07,-0.0840211303259032
1.072,-0.08021607930573
1.074,-0.0887389179709351
1.076,-0.0990392652366736
1.078,-0.103568370965967
1.08,-0.107063390977709
1.082,-0.0946478156931761
1.084,-0.0720436142309343
1.086,-0.0577536313134926
1.088,-0.0437150088966703
1.09,-0.0217557050458491
1.092,-0.0327556813094507
1.094,-0.0389549070754041
1.096,-0.03815242500931
1.098,-0.027523931573648
1.1,-0.0249999999999999
1.102,-0.0224760684263538
1.104,-0.0268475749906899
1.106,-0.036045092924596
1.108,-0.052244318690548
1.11,-0.0532442949541497
1.112,-0.0512849911033292
1.114,-0.0222463686865073
1.116,0.0020436142309336
1.118,0.0296478156931764
1.12,0.0420633909777095
1.122,0.0435683709659674
1.124,0.0290392652366743
1.126,0.0137389179709374
1.128,0.000216079305730872
1.13,0.00902113032590257
1.132,0.0155791389425086
1.134,0.0299272546508753
1.136,0.0444627932669207
1.138,0.0382079691392207
1.14,0.0102671151375505
1.142,-0.00941685759471416
1.144,-0.0474409877939766
1.146,-0.0661932789694698
1.148,-0.0726987431019056
1.15,-0.0650000000000011
1.152,-0.0403435175499022
1.154,-0.0311674008055278
1.156,-0.01607042229772
1.158,-0.0329438221802798
1.16,-0.0652671151375466
1.162,-0.0708472893642221
1.164,-0.0709513831752236
1.166,-0.0725665748758806
1.168,-0.0675368782907045
1.17,-0.0390211303259034
1.172,-0.0421738186539231
1.174,-0.0463782381959372
1.176,-0.0555278551449733
1.178,-0.0762076911909682
1.18,-0.0970633909777095
1.182,-0.0970084954681756
1.184,-0.060555024322635
1.186,-0.0801143110884907
1.188,-0.0817572695484769
1.19,-0.0717557050458481
1.192,-0.0707979419612566
1.194,-0.0813155868504013
1.196,-0.0566638351010092
1.198,-0.0448846113486463
1.2,-0.0400000000000015
1.202,-0.025115388651357
1.204,-0.0133361648989914
1.206,-0.0136844131495977
1.208,-0.0192020580387407
1.21,-0.0232442949541497
1.212,-0.013242730451523
1.214,-0.00988568891151084
1.216,0.00555502432263189
1.218,0.0320084954681726
1.22,0.0220633909777086
1.222,0.0062076911909697
1.224,-0.0144721448550238
1.226,-0.0536217618040599
1.228,-0.0678261813460755
1.23,-0.0509788696740973
1.232,-0.0374631217092981
1.234,-0.0124334251241221
1.236,0.0009513831752219
1.238,0.00584728936422292
1.24,-0.00973288486245048
1.242,-0.0320561778197173
1.244,-0.0389295777022782
1.246,-0.0438325991944724
1.248,-0.0296564824500993
1.25,-0.0150000000000005
1.252,0.00269874310190435
1.254,0.02119327896947
1.256,0.00244098779397877
